"id","name","address","city","latitude","longitude"
1,"98 Willoughby Check Cashing","98 Willoughby St","Brooklyn",40.69191,-73.984772
2,"Farmingdale Check Cashing Co","9726 Seaview Ave","Brooklyn",40.634135,-73.888967
3,"Action Check Cashing Corp","9716 Church Ave","Brooklyn",40.656338,-73.913971
4,"Pay-O-Matic","961 Pennsylvania Ave","Brooklyn",40.65499,-73.88777
5,"Cash Business Marketing & At","948 Dumont Ave","Brooklyn",40.667847,-73.883615
6,"ABRS Check Cashing","946 4th Ave","Brooklyn",40.654713,-74.004494
7,"Cash Business Marketing","933 Livonia Ave","Brooklyn",40.666484,-73.882812
8,"Flatlands Check Cashing Corp","923 E 107th St","Brooklyn",40.64803,-73.892753
9,"ABRS Check Cashing","92 Court St","Brooklyn",40.691179,-73.991713
10,"M & B Check Cashing Corp","916 Utica Ave","Brooklyn",40.650646,-73.930327
11,"Ridge Check Cashing Corp","906 Fulton St","Brooklyn",40.683001,-73.964789
12,"Bayhurst Check Cashing","9014 4th Ave","Brooklyn",40.619566,-74.029962
13,"Cash Business Marketing","894 Myrtle Ave","Brooklyn",40.69561,-73.946795
14,"Jem Group ATM","892 Dekalb Ave","Brooklyn",40.692404,-73.940228
15,"Bush Capital","889 4th Ave","Brooklyn",40.655597,-74.002541
16,"Ridge Check Cashing Corp","884 5th Ave","Brooklyn",40.651611,-74.003929
17,"Fourth Avenue Check Cashing","88 4th Ave","Brooklyn",40.681814,-73.980459
18,"Laser Check Cashing","88 4th Ave","Brooklyn",40.681814,-73.980459
19,"Action Check Cashing","857 Bedford Ave","Brooklyn",40.694505,-73.956085
20,"Check Changers LLC","8405 20th Ave","Brooklyn",40.605625,-73.997135
21,"Pay-O-Matic","840 Franklin Ave # A","Brooklyn",40.669361,-73.958755
22,"Ridge Check Cashing Corp","84 Flatbush Ave","Brooklyn",40.685996,-73.979013
23,"Pay-O-Matic","832 Washington Ave","Brooklyn",40.673138,-73.963211
24,"Bayhurst Check Cashing","8317 5th Ave","Brooklyn",40.623016,-74.025002
25,"Atlantic Amoco","811 Atlantic Ave","Brooklyn",40.68182,-73.967258
26,"B & H Check Cashing","805 Grand St # A","Brooklyn",40.712132,-73.94117
27,"Flatlands Check Cashing","8001 Flatlands Ave","Brooklyn",40.635589,-73.913367
28,"Check Cashing Place","785 Broadway # 1","Brooklyn",40.700233,-73.940506
29,"Quick Cash","782 Washington Ave","Brooklyn",40.674499,-73.963378
30,"David's Money Ctr Of New Yor","752 New Lots Ave","Brooklyn",40.666122,-73.882673
31,"Ridge Check Cashing Corp","7510 3rd Ave","Brooklyn",40.631193,-74.028176
32,"Pay-O-Matic","75 Classon Ave","Brooklyn",40.697925,-73.961727
33,"PLS Check Cashers","729 4th Ave","Brooklyn",40.661006,-73.997265
34,"INB Check Cashing Svc Inc","727 Utica Ave","Brooklyn",40.65551,-73.930729
35,"Csfc","713 Church Ave","Brooklyn",40.645817,-73.972763
36,"Pay-O-Matic","706 Ralph Ave","Brooklyn",40.665507,-73.922423
37,"Check Cashing Place","705 60th St","Brooklyn",40.636671,-74.01142
38,"Check Cashing Place","7011 18th Ave","Brooklyn",40.615868,-73.993118
39,"Cash Systems Efs Inc","690 5th Ave","Brooklyn",40.661682,-73.993408
40,"Pay-O-Matic","687 Stanley Ave","Brooklyn",40.659622,-73.883407
41,"Pls Check Cashing Corp","6817 4th Ave","Brooklyn",40.634705,-74.023148
42,"Cash Zone LLC","68 Jay St","Brooklyn",40.702778,-73.987129
43,"Pay-O-Matic","653 Classon Ave # A","Brooklyn",40.677938,-73.958647
44,"Ridge Check Cashing Corp","6516 Bay Pkwy","Brooklyn",40.613586,-73.982071
45,"Quik Cash","643 Marcy Ave","Brooklyn",40.692505,-73.948575
46,"Pay-O-Matic","642 Nostrand Ave # C","Brooklyn",40.676269,-73.949954
47,"Kingston Check Cashing","6301 Fort Hamilton Pkwy","Brooklyn",40.631573,-74.007735
48,"NYC Financial Svc","6218 New Utrecht Ave","Brooklyn",40.62576,-73.997171
49,"Fast Cash Enterprise","616 4th Ave","Brooklyn",40.664907,-73.993774
50,"Checks Spring Finincial Svc","615 Livonia Ave","Brooklyn",40.664879,-73.894485
51,"Pay-O-Matic","593 Myrtle Ave","Brooklyn",40.69428,-73.960445
52,"Fast Cash Enterprise","587 Flatbush Ave","Brooklyn",40.659259,-73.960489
53,"Church Check Cashing","5824 Church Ave","Brooklyn",40.652227,-73.922047
54,"East Red Money Gram Inc","5814 8th Ave","Brooklyn",40.636475,-74.008911
55,"David's Check Cashing","581 Sutter Ave","Brooklyn",40.669208,-73.897517
56,"Argo Check Cashing Corp","581 Clinton St","Brooklyn",40.676657,-74.000839
57,"Pay-O-Matic","581 4th Ave","Brooklyn",40.66543,-73.99238
58,"Pay-O-Matic","5805 4th Ave # 1","Brooklyn",40.641674,-74.017097
59,"Cash Unlimited","580 Albany Ave","Brooklyn",40.660428,-73.940101
60,"ABRS Check Cashing","5702 Clarendon Rd","Brooklyn",40.644611,-73.922539
61,"Harlan Check Cashing","57 Front St # 1","Brooklyn",40.702704,-73.993143
62,"Green Acres Cash","56 74th St","Brooklyn",40.633584,-74.034542
63,"Island Check Cashing","553 Grand St","Brooklyn",40.711376,-73.949417
64,"Pay-O-Matic","553 Grand St","Brooklyn",40.711376,-73.949417
65,"Check Cashing Svc","553 Flatbush Ave","Brooklyn",40.66041,-73.960584
