"id","name","address","city","longitude","latitude"
1,"GEM FINANCIAL SERVICES INC.","608 8TH AVE","NEW YORK",-73.9909122406,40.7555811
2,"S. & G. GROSS CO., INC.","486 8TH AVE","NEW YORK",-73.9932042514,40.7524327
3,"GEM FINANCIAL SERVICES, INC.","367 E FORDHAM RD","BRONX",-73.8923046252,40.8619071
4,"GRAMERCY PAWNBROKERS, INC.","318 3RD AVE","NEW YORK",-73.9827929413,40.7394343
5,"N. SIMPSON, INC.","149 CANAL ST","NEW YORK",-73.9956997828,40.7165794
6,"PARADISE PAWNBROKERS INC.","2384 GRAND CONCOURSE","BRONX",-73.8984286973,40.8595155
7,"N.Y. PAWNBROKERS I INC.","301 E 149TH ST","BRONX",-73.921348636,40.8170813
8,"GEM FINANCIAL SERVICES INC.","378 SCHERMERHORN ST","BROOKLYN",-73.9794495247,40.6863683
9,"GEM FINANCIAL SERVICES, INC.","21615 JAMAICA AVE",,-73.7539827522,40.7139494
10,"LINCOLN SQUARE PAWNBROKERS, INC.","724 AMSTERDAM AVE","NEW YORK",-73.9707913766,40.7935847
11,"SYLVESTERS JEWELERS, INC.","86 BOWERY","NEW YORK",-73.9955568888,40.7171977
12,"GEM FINANCIAL SERVICES, INC.","1535 FLATBUSH AVE","BROOKLYN",-73.9481298613,40.6333934
13,"LIRANZO, DANIEL J","945 E 163RD ST","BRONX",-73.8961489668,40.8210491
14,"PRESTAMOS PEPE INC.","1324 SAINT NICHOLAS AVE","NEW YORK",-73.9359060048,40.8462264
15,"GUERRERO, LUISA M","2273 MORRIS AVE","BRONX",-73.9022665751,40.8576641
16,"GEM FINANCIAL SERVICES, INC.","9026 SUTPHIN BLVD",,-73.8084924707,40.702973
17,"PRESTAMOS PEPE INC.","4162 BROADWAY","NEW YORK",-73.9381351092,40.8469933
18,"PRESTAMOS PEPE INC.","1403 SAINT NICHOLAS AVE","NEW YORK",-73.9341917683,40.8488044
19,"METROPOLITAN PAWN BROKERS CORP.","9216 JAMAICA AVE",,-73.8531774658,40.6932242
20,"GEM FINANCIAL SERVICES, INC.","754 ALLERTON AVE","BRONX",-73.8652095914,40.8654193
21,"C & H PAWNBROKER CORP","181 KNICKERBOCKER AVE","BROOKLYN",-73.927192584,40.7039049
22,"STATE PAWNBROKERS, INC.","1313 FULTON ST","BROOKLYN",-73.9487504504,40.6804019
23,"N.Y. PAWNBROKERS I INC.","177 RIVINGTON ST","NEW YORK",-73.984396778,40.7188184
24,"LEE'S GOLD CASTLE, LTD.","2404 GRAND CONCOURSE","BRONX",-73.8981924203,40.859956
25,"TREMONT AVE. PAWNBROKERS, INC.","701 E TREMONT AVE","BRONX",-73.8910537404,40.8454407
26,"GEM FINANCIAL SERVICES INC.","353 W 125TH ST","NEW YORK",-73.952654132,40.810855
27,"DJF PAWN BROKERS INC.","300 E FORDHAM RD","BRONX",-73.8948020045,40.8620071
28,"SANTIAGO, PEDRO J.","221 SAINT ANNS AVE","BRONX",-73.9175301834,40.8068677
29,"ELLMAN, ANTONIETA","30 W FORDHAM RD","BRONX",-73.9026197179,40.8626464
30,"THE BARLIAN CORP.","3739 103RD ST",,-73.86433871,40.7532048
31,"BARGAIN PAWNSHOP, INC.","510 FULTON ST","BROOKLYN",-73.9824258545,40.6894267
32,"48TH ST. PAWNBROKERS, INC.","32 W 48TH ST","NEW YORK",-73.9796122345,40.7578542
33,"FERMIN, JULIA A","3 W 183RD ST","BRONX",-73.9040077956,40.8584614
34,"E Z PAWN CORP.","1878 LEXINGTON AVE","NEW YORK",-73.9412041897,40.7993059
35,"GEM FINANCIAL SERVICES, INC.","1912 FLATBUSH AVE","BROOKLYN",-73.937359533,40.6229979
36,"CABRERA, RAMON R","866 E 180TH ST","BRONX",-73.8833220465,40.8453551
37,"G.W. HTS PAWN BROKER, INC.","700 W 178TH ST","NEW YORK",-73.9377362153,40.8483482
38,"A1 PAWN BROKERS, INC.","2131 CONEY ISLAND AVE","BROOKLYN",-73.9616446975,40.6051642
39,"NY PAWNBROKERS 2, INC","303 E 149TH ST","BRONX",-73.9212759864,40.8170625
40,"E Z PAWN CORP.","9554 ROOSEVELT AVE",,-73.8703410368,40.7490124
41,"PAWN IT HERE, INC.","9035 SUTPHIN BLVD",,-73.8078537621,40.7017515
42,"MODELL COLLATERAL LOANS INC.","150 ATLANTIC AVE","BROOKLYN",-73.9946816711,40.6902698
43,"MODELL COLLATERAL LOANS INC.","139 E 23RD ST","NEW YORK",-73.9845654673,40.739498
44,"CONCOURSE PAWN SHOP INC.","2558 GRAND CONCOURSE","BRONX",-73.8960940961,40.8634178
45,"QUEENS PAWNBROKERS INC.","9412 ROOSEVELT AVE",,-73.8723470552,40.7487987
46,"MR. PAWNBROKER INC.","1016 LONGWOOD AVE","BRONX",-73.8967085027,40.8165374
