"id","name","address","city","latitude","longitude"
1,"CHASE","13 KNOLLS CRES # B","BRONX",40.8788669,-73.917234
2,"CAPITAL ONE BANK","5977 RIVERDALE AVE","BRONX",40.90808,-73.90408
3,"CHASE","5656 RIVERDALE AVE","BRONX",40.905593,-73.904395
4,"CITIBANK","5671 RIVERDALE AVE","BRONX",40.9060069,-73.904403
5,"BANK OF AMERICA","3508 JOHNSON AVE","BRONX",40.88576,-73.909731
6,"CAPITAL ONE BANK","3517 JOHNSON AVE","BRONX",40.885856,-73.909992
7,"COUNTRY BANK","583 W 235TH ST","BRONX",40.885908,-73.911034
8,"CHASE","3775 RIVERDALE AVE","BRONX",40.887626,-73.907369
9,"WELLS FARGO BANK","3709 RIVERDALE AVE","BRONX",40.886734,-73.907131
10,"APPLE BANK FOR SAVINGS","3552 JOHNSON AVE","BRONX",40.886168,-73.90974
11,"HSBC BANK","569 W 235TH ST","BRONX",40.885792,-73.910388
12,"CHASE","90 W 225TH ST","BRONX",40.874358,-73.90948
13,"TD BANK","281 W 230TH ST","BRONX",40.87945,-73.909121
14,"CHASE","5581 BROADWAY","BRONX",40.8792599,-73.904871
15,"CHASE","201 W 231ST ST","BRONX",40.878984,-73.904786
16,"CAPITAL ONE BANK","185 W 231ST ST","BRONX",40.87894,-73.903931
17,"PONCE DE LEON FEDERAL BANK","5560 BROADWAY","BRONX",40.8783,-73.9048
18,"CITIBANK","5660 BROADWAY","BRONX",40.880612,-73.903514
19,"BANK OF AMERICA","4361 KATONAH AVE","BRONX",40.90071,-73.868081
20,"COUNTRY BANK","4349 KATONAH AVE","BRONX",40.900282,-73.867768
21,"RIDGEWOOD SAVINGS BANK","3899 SEDGWICK AVE","BRONX",40.883062,-73.893983
22,"CITIBANK","3475 JEROME AVE # 77","BRONX",40.881785,-73.882408
23,"CHASE","3408 JEROME AVE","BRONX",40.88078,-73.88296
24,"RIDGEWOOD SAVINGS BANK","3445 JEROME AVE","BRONX",40.8813839,-73.88287
25,"CAPITAL ONE BANK","3159 BAINBRIDGE AVE","BRONX",40.8747,-73.879721
26,"CHASE","3169 BAINBRIDGE AVE","BRONX",40.87515,-73.879553
27,"CHASE","3514 WHITE PLAINS RD","BRONX",40.8775599,-73.865983
28,"RBC","4338 ELY AVE","BRONX",40.89727,-73.84788
29,"EZ DEBIT CARD INTL","1847 NEREID AVE","BRONX",40.89883,-73.848951
30,"CHASE","1215 E 233RD ST","BRONX",40.888895,-73.843052
31,"CITIBANK","3955 BAYCHESTER AVE","BRONX",40.88985,-73.84291
32,"CITIBANK","3200 BAYCHESTER AVE","BRONX",40.875974,-73.835741
33,"RIDGEWOOD SAVINGS BANK","3824 WHITE PLAINS RD","BRONX",40.88422,-73.862315
34,"CHASE","725 E 233RD ST","BRONX",40.893178,-73.856465
35,"CAPITAL ONE BANK","4201 WHITE PLAINS RD","BRONX",40.8936999,-73.857377
36,"CITIBANK","1910 VICTORY BLVD","STATEN ISLAND",40.612628,-74.127766
37,"CHASE","280 PAGE AVE","STATEN ISLAND",40.5171789,-74.234124
38,"CAPITAL ONE BANK","240 PAGE AVE","STATEN ISLAND",40.518228,-74.234638
39,"S I BANK & TRUST","6975 AMBOY RD","STATEN ISLAND",40.5163649,-74.23292
40,"RICHMOND COUNTY SAVINGS BANK","2730 ARTHUR KILL RD # 5","STATEN ISLAND",40.548925,-74.223396
41,"TD BANK","126 PAGE AVE","STATEN ISLAND",40.5212669,-74.235156
42,"CHASE","6390 AMBOY RD # 1","STATEN ISLAND",40.521898,-74.216851
43,"NORTHFIELD BANK","6420 AMBOY RD","STATEN ISLAND",40.520895,-74.217406
44,"HOME SAVINGS OF AMERICA","101 ELLIS ST # 8","STATEN ISLAND",40.516162,-74.243482
45,"QUEENS COUNTY SAVINGS BANK","179 MAIN ST","STATEN ISLAND",40.510783,-74.248438
46,"RICHMOND COUNTY SAVINGS","179 MAIN ST","STATEN ISLAND",40.510783,-74.248438
47,"HUDSON CITY SAVINGS BANK","2935 VETERANS RD W # F","STATEN ISLAND",40.527863,-74.234111
48,"S I BANK & TRUST","1320 HYLAN BLVD","STATEN ISLAND",40.596131,-74.085686
49,"STATEN ISLAND SAVINGS BANK","1320 HYLAN BLVD","STATEN ISLAND",40.596131,-74.085686
50,"IDB BANK","201 EDWARD CURRY AVE","STATEN ISLAND",40.610641,-74.184626
51,"STATEN ISLAND SAVINGS BANK","985 RICHMOND AVE","STATEN ISLAND",40.6229499,-74.149341
52,"BANK OF AMERICA","2196 FOREST AVE","STATEN ISLAND",40.62673,-74.162741
53,"HUDSON CITY SAVINGS BANK","2220 FOREST AVE # 9","STATEN ISLAND",40.62682,-74.16356
54,"RICHMOND COUNTY SAVINGS BANK","1460 RICHMOND AVE","STATEN ISLAND",40.613029,-74.158809
55,"RICHMOND COUNTY SAVINGS BANK","1445 RICHMOND AVE # K","STATEN ISLAND",40.613062,-74.158602
